user_input,intent,bot_response,escalation_needed,emotion_tag,follow_up_question,resource_link
Exams are stressing me out,exam_anxiety,Taking breaks and practicing relaxation techniques might help you focus better.,No,negative,Do you want tips for managing exam stress?,https://adaa.org/living-with-anxiety/children/test-anxiety
i feel anxious in class please,anxiety,"It’s okay, many students experience this. Try breathing slowly when you feel nervous.",No,anxiety,Do you want me to share relaxation techniques?,
i failed my exam,academic stress,"I'm sorry about that. Remember, one exam doesn’t define you.",No,negative,Would you like some study tips for next time?,
Exams are stressing me out,exam_anxiety,"Exams can be overwhelming. Remember, you're doing your best and that's what matters.",No,negative,Do you want tips for managing exam stress?,https://adaa.org/living-with-anxiety/children/test-anxiety
Exams are stressing me out,exam_anxiety,"Exams can be overwhelming. Remember, you're doing your best and that's what matters.",No,negative,Would you like to talk about your study routine?,https://adaa.org/living-with-anxiety/children/test-anxiety
I feel so lonely at college,loneliness,It takes time to build friendships. You're worthy of meaningful connections.,No,negative,Would you like to share more about how you feel in social situations?,https://www.mind.org.uk/information-support/tips-for-everyday-living/student-life/loneliness-at-university
Everyone else has friends except me,loneliness,"I'm sorry you're feeling this way. You're not alone, many students feel lonely at times.",No,negative,Do you want to explore ways to meet new people?,https://www.mind.org.uk/information-support/tips-for-everyday-living/student-life/loneliness-at-university
I don't see the point of studying anymore,motivation,Remind yourself of your goals and why you started. Even little progress counts.,No,negative,Would you like to talk about what’s making you feel this way?,https://www.apa.org/topics/motivation
Everyone else has friends except me,loneliness,College can feel isolating sometimes. Have you thought about joining a student club or activity?,No,negative,Do you want to explore ways to meet new people?,https://www.mind.org.uk/information-support/tips-for-everyday-living/student-life/loneliness-at-university
i made a new friend,positive,That’s great! New friendships can bring joy.,No,positive,,
I don't see the point of studying anymore,motivation,It’s okay to feel unmotivated sometimes. Taking small steps can help you get back on track.,No,negative,Would you like to talk about what’s making you feel this way?,https://www.apa.org/topics/motivation
i feel sad,sadness,I'm here for you. Do you want to share what’s making you sad?,No,negative,,
I don't see the point of studying anymore,motivation,Remind yourself of your goals and why you started. Even little progress counts.,No,negative,Do you want me to share some motivation tips?,https://www.apa.org/topics/motivation
i failed my exam please,academic stress,"I'm sorry about that. Remember, one exam doesn’t define you.",No,negative,Would you like some study tips for next time?,
I can't get out of bed to attend lectures,motivation,Sometimes starting with just 5 minutes of work can help build momentum.,No,negative,Would you like to talk about what’s making you feel this way?,https://www.apa.org/topics/motivation
Exams are stressing me out,exam_anxiety,Taking breaks and practicing relaxation techniques might help you focus better.,No,negative,Do you want tips for managing exam stress?,https://adaa.org/living-with-anxiety/children/test-anxiety
I don't have anyone to talk to,loneliness,College can feel isolating sometimes. Have you thought about joining a student club or activity?,No,negative,Would you like to share more about how you feel in social situations?,https://www.mind.org.uk/information-support/tips-for-everyday-living/student-life/loneliness-at-university
I can't get out of bed to attend lectures,motivation,It’s okay to feel unmotivated sometimes. Taking small steps can help you get back on track.,No,negative,Do you want me to share some motivation tips?,https://www.apa.org/topics/motivation
I feel like giving up,motivation,It’s okay to feel unmotivated sometimes. Taking small steps can help you get back on track.,No,negative,Do you want me to share some motivation tips?,https://www.apa.org/topics/motivation
I have no motivation to study,motivation,Remind yourself of your goals and why you started. Even little progress counts.,No,negative,Do you want me to share some motivation tips?,https://www.apa.org/topics/motivation
i get nervous before exams please,anxiety,That’s natural. Would you like some exam relaxation strategies?,No,anxiety,,
i feel lonely please,sadness,That sounds tough. Talking to a friend or loved one might help.,No,negative,Do you want me to share helpline resources?,
i procrastinate please,academic stress,Many students do. Breaking work into smaller steps can help.,No,negative,Do you want a quick productivity trick?,
hello,greeting,Hi there! How are you feeling today?,No,neutral,Do you want to talk about your day?,
I feel left out in my class,loneliness,College can feel isolating sometimes. Have you thought about joining a student club or activity?,No,negative,Do you want to explore ways to meet new people?,https://www.mind.org.uk/information-support/tips-for-everyday-living/student-life/loneliness-at-university
I feel left out in my class,loneliness,College can feel isolating sometimes. Have you thought about joining a student club or activity?,No,negative,Do you want to explore ways to meet new people?,https://www.mind.org.uk/information-support/tips-for-everyday-living/student-life/loneliness-at-university
I don't have anyone to talk to,loneliness,It takes time to build friendships. You're worthy of meaningful connections.,No,negative,Would you like to share more about how you feel in social situations?,https://www.mind.org.uk/information-support/tips-for-everyday-living/student-life/loneliness-at-university
